token,tag
The,O
antiabortion,O
activist,O
wanted,O
for,O
questioning,O
in,O
last,B-DATE
month,I-DATE
',O
s,O
shooting,O
death,O
of,O
a,O
doctor,O
in,O
a,O
Buffalo,O
suburb,O
may,O
have,O
fled,O
to,O
Mexico,O
",",O
according,O
to,O
a,O
newspaper,O
report,O
.,O
James,O
Charles,O
Kopp,O
",",O
44,O
",",O
of,O
Vermont,O
",",O
was,O
seen,O
in,O
the,O
car,O
of,O
a,O
female,O
associate,O
crossing,O
the,O
US,O
border,O
days,B-DATE
after,O
a,O
sniper,O
killed,O
Dr,O
.,O
Barnett,O
Slepian,O
in,O
his,O
kitchen,O
",",O
the,O
Buffalo,O
News,O
reported,O
Friday,B-DATE
.,O
Kopp,O
has,O
been,O
the,O
subject,O
of,O
a,O
manhunt,O
following,O
reports,O
that,O
he,O
was,O
spotted,O
in,O
a,O
vehicle,O
near,O
the,O
scene,O
of,O
the,O
Oct,B-DATE
.,I-DATE
23,I-DATE
slaying,O
of,O
Slepian,O
",",O
52,O
",",O
an,O
obstetrician,O
who,O
also,O
performed,O
abortions,O
.,O
The,O
FBI,O
says,O
Kopp,O
is,O
wanted,O
as,O
a,O
material,O
witness,O
in,O
the,O
case,O
.,O
Friday,B-DATE
",",O
an,O
FBI,O
official,O
said,O
authorities,O
are,O
pursuing,O
more,O
than,O
400,O
tips,O
but,O
have,O
not,O
pinned,O
down,O
Kopp,O
',O
s,O
whereabouts,O
.,O
``,O
In,O
all,O
candor,O
",",O
the,O
FBI,O
does,O
not,O
know,O
where,O
James,O
Kopp,O
is,O
_,O
period,O
",''",O
said,O
Paul,O
Moskal,O
",",O
a,O
spokesman,O
for,O
the,O
bureau,O
',O
s,O
Buffalo,O
office,O
.,O
``,O
He,O
',O
s,O
as,O
likely,O
to,O
be,O
in,O
Boston,O
",",O
Massachusetts,O
",",O
as,O
in,O
Buffalo,O
",",O
New,O
York,O
.'',O
Authorities,O
want,O
to,O
question,O
the,O
unidentified,O
woman,O
who,O
allegedly,O
traveled,O
with,O
Kopp,O
",",O
according,O
to,O
an,O
investigator,O
quoted,O
by,O
the,O
newspaper,O
.,O
``,O
She,O
may,O
have,O
been,O
with,O
Kopp,O
sometime,O
after,O
the,O
murder,O
",''",O
the,O
investigator,O
said,O
.,O
``,O
Kopp,O
may,O
be,O
in,O
Mexico,O
.,O
He,O
may,O
have,O
even,O
traveled,O
further,O
into,O
Central,O
America,O
or,O
South,O
America,O
.'',O
A,O
task,O
force,O
of,O
US,O
and,O
Canadian,O
officials,O
is,O
investigating,O
the,O
similarities,O
between,O
the,O
attack,O
on,O
Slepian,O
and,O
four,O
others,O
on,O
abortion,O
providers,O
in,O
Canada,O
and,O
upstate,O
New,O
York,O
in,O
the,O
past,O
four,B-DURATION
years,I-DURATION
.,O
The,O
US,O
Justice,O
Department,O
is,O
offering,O
a,O
$,O
500,O
",",O
000,O
reward,O
for,O
information,O
leading,O
to,O
the,O
arrest,O
and,O
conviction,O
of,O
those,O
responsible,O
for,O
Slepian,O
',O
s,O
slaying,O
.,O
