token,tag
Officials,O
in,O
California,O
are,O
warning,O
residents,O
that,O
oncoming,O
rains,O
will,O
cause,O
dangerous,O
and,O
unpredictable,O
landslides,O
.,O
From,O
member,O
station,O
KQED,O
",",O
Auncil,O
Martinez,O
reports,O
.,O
Experts,O
say,O
the,O
ground,O
is,O
so,O
saturated,O
it,O
cannot,O
absorb,O
any,O
more,O
water,O
.,O
So,O
that,O
means,O
soil,O
will,O
fall,O
off,O
in,O
chunks,O
and,O
destroy,O
anything,O
in,O
its,O
path,O
.,O
In,O
Los,O
Angeles,O
that,O
lesson,O
was,O
brought,O
home,O
today,B-DATE
when,O
tons,O
of,O
earth,O
cascaded,O
down,O
a,O
hillside,O
",",O
ripping,O
two,O
houses,O
from,O
their,O
foundations,O
.,O
No,O
one,O
was,O
hurt,O
",",O
but,O
firefighters,O
ordered,O
the,O
evacuation,O
of,O
nearby,O
homes,O
and,O
said,O
they,O
',O
ll,O
monitor,O
the,O
shifting,O
ground,O
.,O
In,O
the,O
northern,O
California,O
town,O
of,O
Rio,O
Nido,O
",",O
officials,O
say,O
a,O
football,O
field,O
sized,O
slab,O
of,O
hillside,O
could,O
still,O
break,O
loose,O
at,O
any,O
time,O
and,O
destroy,O
an,O
entire,O
neighborhood,O
.,O
And,O
in,O
San,O
Francisco,O
",",O
a,O
mansion,O
overlooking,O
the,O
Pacific,O
Ocean,O
and,O
the,O
Golden,O
Gate,O
Bridge,O
is,O
slipping,O
toward,O
the,O
sea,O
.,O
Forecasters,O
say,O
the,O
picture,O
will,O
get,O
worse,O
because,O
more,O
rains,O
are,O
on,O
the,O
way,O
.,O
For,O
NPR,O
news,O
",",O
I,O
',O
m,O
Auncil,O
Martinez,O
reporting,O
.,O
