Elco,O,
Industries,O,
Inc,O,
.,O,
said,O,
it,O,
expects,O,
net,O,
income,O,
in,O,
the,B-DURATION,
year,I-DURATION,
ending,O,
June,B-DATE,
30,I-DATE,
",",I-DATE,
1990,I-DATE,
",",O,
to,O,
fall,O,
below,O,
a,O,
recent,O,
analyst,O,
',O,
s,O,
estimate,O,
of,O,
$,O,
1,O,
.,O,
65,O,
a,O,
share,O,
.,O,
The,O,
Rockford,O,
",",O,
Ill,O,
".,",O,
maker,O,
of,O,
fasteners,O,
also,O,
said,O,
it,O,
expects,O,
to,O,
post,O,
sales,O,
in,O,
the,B-DATE,
current,I-DATE,
fiscal,I-DATE,
year,I-DATE,
that,O,
are,O,
"""",O,
slightly,O,
above,O,
"""",O,
fiscal,B-DATE,
1989,I-DATE,
sales,O,
of,O,
$,O,
155,O,
million,O,
.,O,
The,O,
company,O,
said,O,
its,O,
industrial,O,
unit,O,
continues,O,
to,O,
face,O,
margin,O,
pressures,O,
and,O,
lower,O,
demand,O,
.,O,
In,O,
fiscal,B-DATE,
1989,I-DATE,
",",O,
Elco,O,
earned,O,
$,O,
7,O,
.,O,
8,O,
million,O,
",",O,
or,O,
$,O,
1,O,
.,O,
65,O,
a,O,
share,O,
.,O,
The,O,
company,O,
',O,
s,O,
stock,O,
fell,O,
$,O,
1,O,
.,O,
125,O,
to,O,
$,O,
13,O,
.,O,
625,O,
in,O,
over,O,
-,O,
the,O,
-,O,
counter,O,
trading,O,
yesterday,B-DATE,
.,O,
